[2023-06-05 06:38:01,630] runtime=1009
[2023-06-05 06:38:02,641] runtime=1008
[2023-06-05 06:38:03,651] runtime=1008
[2023-06-05 06:38:04,662] runtime=1007
[2023-06-05 06:38:05,672] runtime=1007
[2023-06-05 06:38:06,682] runtime=1008
[2023-06-05 06:38:07,692] runtime=1008
[2023-06-05 06:38:08,703] runtime=220
[2023-06-05 06:38:08,926] runtime=112
[2023-06-05 06:38:09,040] runtime=60
[2023-06-05 06:38:09,103] runtime=865
[2023-06-05 06:38:09,970] runtime=1009
[2023-06-05 06:38:10,982] runtime=1008
[2023-06-05 06:38:11,992] runtime=1009
[2023-06-05 06:38:13,004] runtime=1008
[2023-06-05 06:38:14,014] runtime=1009
[2023-06-05 06:38:15,025] runtime=1008
[2023-06-05 06:38:16,036] runtime=1008
[2023-06-05 06:38:17,047] runtime=1007
[2023-06-05 06:38:18,057] runtime=1008
[2023-06-05 06:38:19,067] runtime=1009
[2023-06-05 06:38:20,079] runtime=1007
[2023-06-05 06:38:21,089] runtime=1008
[2023-06-05 06:38:22,100] runtime=1009
[2023-06-05 06:38:23,112] runtime=1008
[2023-06-05 06:38:24,123] runtime=1008
[2023-06-05 06:38:25,134] runtime=1013
[2023-06-05 06:38:26,150] runtime=783
[2023-06-05 06:38:26,936] runtime=306
[2023-06-05 06:38:27,245] runtime=30
[2023-06-05 06:38:27,277] runtime=32
[2023-06-05 06:38:27,312] runtime=21
[2023-06-05 06:38:27,336] runtime=40
[2023-06-05 06:38:27,379] runtime=23
[2023-06-05 06:38:27,405] runtime=26
[2023-06-05 06:38:27,433] runtime=72
[2023-06-05 06:38:27,507] runtime=24
[2023-06-05 06:38:27,533] runtime=21
[2023-06-05 06:38:27,557] runtime=34
[2023-06-05 06:38:27,593] runtime=23
[2023-06-05 06:38:27,619] runtime=27
[2023-06-05 06:38:27,649] runtime=21
[2023-06-05 06:38:27,673] runtime=27
[2023-06-05 06:38:27,703] runtime=34
[2023-06-05 06:38:27,740] runtime=55
[2023-06-05 06:38:27,798] runtime=41
[2023-06-05 06:38:27,842] runtime=35
[2023-06-05 06:38:27,880] runtime=35
[2023-06-05 06:38:27,918] runtime=25
[2023-06-05 06:38:27,946] runtime=27
[2023-06-05 06:38:27,975] runtime=38
[2023-06-05 06:38:28,015] runtime=27
[2023-06-05 06:38:28,045] runtime=27
[2023-06-05 06:38:28,074] runtime=20
[2023-06-05 06:38:28,097] runtime=21
[2023-06-05 06:38:28,120] runtime=28
[2023-06-05 06:38:28,151] runtime=27
[2023-06-05 06:38:28,181] runtime=24
[2023-06-05 06:38:28,208] runtime=26
[2023-06-05 06:38:28,237] runtime=21
[2023-06-05 06:38:28,261] runtime=23
[2023-06-05 06:38:28,286] runtime=22
[2023-06-05 06:38:28,310] runtime=31
[2023-06-05 06:38:28,344] runtime=36
[2023-06-05 06:38:28,382] runtime=23
[2023-06-05 06:38:28,408] runtime=27
[2023-06-05 06:38:28,438] runtime=22
[2023-06-05 06:38:28,462] runtime=26
[2023-06-05 06:38:28,491] runtime=25
[2023-06-05 06:38:28,518] runtime=49
[2023-06-05 06:38:28,569] runtime=53
[2023-06-05 06:38:28,625] runtime=52
[2023-06-05 06:38:28,679] runtime=59
[2023-06-05 06:38:28,741] runtime=54
[2023-06-05 06:38:28,798] runtime=47
[2023-06-05 06:38:28,848] runtime=53
[2023-06-05 06:38:28,904] runtime=56
[2023-06-05 06:38:28,963] runtime=52
[2023-06-05 06:38:29,017] runtime=63
[2023-06-05 06:38:29,082] runtime=50
[2023-06-05 06:38:29,134] runtime=52
[2023-06-05 06:38:29,189] runtime=61
[2023-06-05 06:38:29,252] runtime=46
[2023-06-05 06:38:29,300] runtime=54
[2023-06-05 06:38:29,357] runtime=60
[2023-06-05 06:38:29,420] runtime=55
[2023-06-05 06:38:29,477] runtime=50
[2023-06-05 06:38:29,530] runtime=53
[2023-06-05 06:38:29,586] runtime=53
[2023-06-05 06:38:29,641] runtime=51
[2023-06-05 06:38:29,695] runtime=61
[2023-06-05 06:38:29,759] runtime=53
[2023-06-05 06:38:29,814] runtime=51
[2023-06-05 06:38:29,868] runtime=57
[2023-06-05 06:38:29,928] runtime=50
[2023-06-05 06:38:29,980] runtime=55
[2023-06-05 06:38:30,038] runtime=64
[2023-06-05 06:38:30,105] runtime=40
[2023-06-05 06:38:30,148] runtime=61
[2023-06-05 06:38:30,211] runtime=47
